RequestId,OriginStop,DestStop,SpawnTime,BoardTime,AlightTime,Wait,Ride,Total
88,3,1,25060.0,28860.0,32595.0,3800.0,3735.0,7535.0
89,3,1,25400.0,28860.0,32595.0,3460.0,3735.0,7195.0
90,1,0,25485.0,32595.0,34290.0,7110.0,1695.0,8805.0
91,2,1,25545.0,27895.0,32595.0,2350.0,4700.0,7050.0
92,3,0,25560.0,28860.0,29875.0,3300.0,1015.0,4315.0
93,0,2,25585.0,29875.0,36270.0,4290.0,6395.0,10685.0
94,1,2,25635.0,32595.0,36270.0,6960.0,3675.0,10635.0
95,1,0,25685.0,32595.0,34290.0,6910.0,1695.0,8605.0
96,0,3,25750.0,29875.0,30890.0,4125.0,1015.0,5140.0
97,1,0,25750.0,32595.0,34290.0,6845.0,1695.0,8540.0
98,0,1,25765.0,29875.0,32595.0,4110.0,2720.0,6830.0
99,0,1,25775.0,29875.0,32595.0,4100.0,2720.0,6820.0
100,1,0,25895.0,32595.0,34290.0,6700.0,1695.0,8395.0
101,2,3,26025.0,36270.0,37235.0,10245.0,965.0,11210.0
102,1,3,26030.0,32595.0,35305.0,6565.0,2710.0,9275.0
103,3,0,26030.0,28860.0,29875.0,2830.0,1015.0,3845.0
104,2,3,26040.0,36270.0,37235.0,10230.0,965.0,11195.0
105,1,2,26140.0,32595.0,36270.0,6455.0,3675.0,10130.0
106,1,2,26295.0,32595.0,36270.0,6300.0,3675.0,9975.0
107,0,3,26340.0,29875.0,30890.0,3535.0,1015.0,4550.0
108,1,2,26470.0,32595.0,36270.0,6125.0,3675.0,9800.0
109,2,1,26650.0,36270.0,38940.0,9620.0,2670.0,12290.0
110,3,1,26760.0,30890.0,32595.0,4130.0,1705.0,5835.0
111,2,3,26770.0,36270.0,37235.0,9500.0,965.0,10465.0
112,1,0,26825.0,32595.0,34290.0,5770.0,1695.0,7465.0
113,0,1,26830.0,34290.0,38940.0,7460.0,4650.0,12110.0
114,3,2,26915.0,30890.0,36270.0,3975.0,5380.0,9355.0
115,0,1,26925.0,34290.0,38940.0,7365.0,4650.0,12015.0
116,1,2,27030.0,32595.0,36270.0,5565.0,3675.0,9240.0
117,3,0,27050.0,30890.0,34290.0,3840.0,3400.0,7240.0
118,1,0,27120.0,32595.0,34290.0,5475.0,1695.0,7170.0
119,1,2,27135.0,32595.0,36270.0,5460.0,3675.0,9135.0
120,0,1,27280.0,34290.0,38940.0,7010.0,4650.0,11660.0
121,3,1,27295.0,30890.0,32595.0,3595.0,1705.0,5300.0
122,2,0,27360.0,36270.0,40635.0,8910.0,4365.0,13275.0
123,3,2,27460.0,30890.0,36270.0,3430.0,5380.0,8810.0
124,0,1,27505.0,34290.0,38940.0,6785.0,4650.0,11435.0
125,1,0,27695.0,38940.0,40635.0,11245.0,1695.0,12940.0
126,2,0,27715.0,36270.0,40635.0,8555.0,4365.0,12920.0
127,3,0,27730.0,35305.0,40635.0,7575.0,5330.0,12905.0
128,0,2,27770.0,34290.0,36270.0,6520.0,1980.0,8500.0
129,3,2,27995.0,37235.0,42615.0,9240.0,5380.0,14620.0
130,2,0,28000.0,36270.0,40635.0,8270.0,4365.0,12635.0
131,1,2,28030.0,38940.0,42615.0,10910.0,3675.0,14585.0
132,2,1,28065.0,36270.0,38940.0,8205.0,2670.0,10875.0
133,3,2,28080.0,37235.0,42615.0,9155.0,5380.0,14535.0
134,0,2,28095.0,34290.0,36270.0,6195.0,1980.0,8175.0
135,3,0,28120.0,37235.0,40635.0,9115.0,3400.0,12515.0
136,1,0,28155.0,38940.0,40635.0,10785.0,1695.0,12480.0
137,0,2,28185.0,34290.0,36270.0,6105.0,1980.0,8085.0
138,2,0,28225.0,36270.0,40635.0,8045.0,4365.0,12410.0
139,1,3,28240.0,38940.0,41650.0,10700.0,2710.0,13410.0
140,2,0,28255.0,36270.0,40635.0,8015.0,4365.0,12380.0
141,3,1,28270.0,37235.0,38940.0,8965.0,1705.0,10670.0
142,2,1,28290.0,36270.0,38940.0,7980.0,2670.0,10650.0
143,2,0,28365.0,36270.0,40635.0,7905.0,4365.0,12270.0
144,2,3,28370.0,36270.0,37235.0,7900.0,965.0,8865.0
145,3,0,28400.0,41650.0,44595.0,13250.0,2945.0,16195.0
146,2,0,28410.0,36270.0,40635.0,7860.0,4365.0,12225.0
147,0,2,28450.0,34290.0,36270.0,5840.0,1980.0,7820.0
148,1,0,28570.0,38940.0,40635.0,10370.0,1695.0,12065.0
149,2,0,28595.0,36270.0,40635.0,7675.0,4365.0,12040.0
150,3,2,28655.0,41650.0,42615.0,12995.0,965.0,13960.0
151,2,3,28750.0,42615.0,43580.0,13865.0,965.0,14830.0
152,0,3,28970.0,40635.0,41650.0,11665.0,1015.0,12680.0
153,3,1,29020.0,41650.0,46290.0,12630.0,4640.0,17270.0
154,2,3,29050.0,42615.0,43580.0,13565.0,965.0,14530.0
155,0,1,29180.0,40635.0,46290.0,11455.0,5655.0,17110.0
156,1,2,29330.0,38940.0,42615.0,9610.0,3675.0,13285.0
157,3,0,29330.0,41650.0,44595.0,12320.0,2945.0,15265.0
158,3,1,29380.0,41650.0,46290.0,12270.0,4640.0,16910.0
159,0,3,29435.0,40635.0,41650.0,11200.0,1015.0,12215.0
160,0,1,29455.0,40635.0,46290.0,11180.0,5655.0,16835.0
161,2,1,29495.0,42615.0,46290.0,13120.0,3675.0,16795.0
162,1,0,29500.0,38940.0,40635.0,9440.0,1695.0,11135.0
163,0,3,29760.0,40635.0,41650.0,10875.0,1015.0,11890.0
164,2,1,29995.0,42615.0,46290.0,12620.0,3675.0,16295.0
165,1,3,30030.0,38940.0,41650.0,8910.0,2710.0,11620.0
166,3,2,30030.0,41650.0,42615.0,11620.0,965.0,12585.0
167,0,3,30035.0,40635.0,41650.0,10600.0,1015.0,11615.0
168,3,2,30125.0,41650.0,42615.0,11525.0,965.0,12490.0
169,0,2,30135.0,40635.0,42615.0,10500.0,1980.0,12480.0
170,2,1,30140.0,42615.0,46290.0,12475.0,3675.0,16150.0
171,0,1,30155.0,40635.0,46290.0,10480.0,5655.0,16135.0
172,3,2,30200.0,43580.0,49965.0,13380.0,6385.0,19765.0
173,3,2,30230.0,43580.0,49965.0,13350.0,6385.0,19735.0
174,3,1,30270.0,43580.0,46290.0,13310.0,2710.0,16020.0
175,0,1,30305.0,40635.0,46290.0,10330.0,5655.0,15985.0
176,1,2,30315.0,46290.0,49965.0,15975.0,3675.0,19650.0
177,3,2,30595.0,43580.0,49965.0,12985.0,6385.0,19370.0
178,0,3,30700.0,40635.0,41650.0,9935.0,1015.0,10950.0
179,2,3,30745.0,42615.0,43580.0,11870.0,965.0,12835.0
180,0,1,30840.0,40635.0,46290.0,9795.0,5655.0,15450.0
181,2,3,30945.0,42615.0,43580.0,11670.0,965.0,12635.0
182,0,2,30980.0,40635.0,42615.0,9655.0,1980.0,11635.0
183,1,2,31025.0,46290.0,49965.0,15265.0,3675.0,18940.0
184,3,1,31045.0,43580.0,46290.0,12535.0,2710.0,15245.0
185,1,2,31145.0,46290.0,49965.0,15145.0,3675.0,18820.0
186,2,0,31145.0,42615.0,44595.0,11470.0,1980.0,13450.0
187,3,1,31145.0,49000.0,53640.0,17855.0,4640.0,22495.0
188,1,0,31155.0,46290.0,47985.0,15135.0,1695.0,16830.0
189,3,2,31195.0,49000.0,49965.0,17805.0,965.0,18770.0
190,2,0,31240.0,42615.0,44595.0,11375.0,1980.0,13355.0
191,3,0,31280.0,49000.0,51945.0,17720.0,2945.0,20665.0
192,1,2,31310.0,46290.0,49965.0,14980.0,3675.0,18655.0
193,0,2,31350.0,40635.0,42615.0,9285.0,1980.0,11265.0
194,1,0,31375.0,46290.0,47985.0,14915.0,1695.0,16610.0
195,0,2,31450.0,40635.0,42615.0,9185.0,1980.0,11165.0
196,0,2,31560.0,44595.0,49965.0,13035.0,5370.0,18405.0
197,1,3,31685.0,46290.0,49000.0,14605.0,2710.0,17315.0
198,2,0,31710.0,42615.0,44595.0,10905.0,1980.0,12885.0
199,1,3,31730.0,46290.0,49000.0,14560.0,2710.0,17270.0
200,3,1,31735.0,49000.0,53640.0,17265.0,4640.0,21905.0
201,3,2,31755.0,49000.0,49965.0,17245.0,965.0,18210.0
202,2,3,31820.0,42615.0,43580.0,10795.0,965.0,11760.0
203,2,3,31985.0,49965.0,50930.0,17980.0,965.0,18945.0
204,0,3,32135.0,44595.0,49000.0,12460.0,4405.0,16865.0
205,0,1,32265.0,44595.0,46290.0,12330.0,1695.0,14025.0
206,1,3,32360.0,46290.0,49000.0,13930.0,2710.0,16640.0
207,2,0,32360.0,49965.0,51945.0,17605.0,1980.0,19585.0
208,2,1,32665.0,49965.0,53640.0,17300.0,3675.0,20975.0
209,0,1,32745.0,44595.0,46290.0,11850.0,1695.0,13545.0
210,1,0,32780.0,46290.0,47985.0,13510.0,1695.0,15205.0
211,3,2,32805.0,49000.0,49965.0,16195.0,965.0,17160.0
212,2,3,32810.0,49965.0,50930.0,17155.0,965.0,18120.0
213,0,1,32920.0,44595.0,46290.0,11675.0,1695.0,13370.0
214,2,1,32955.0,49965.0,53640.0,17010.0,3675.0,20685.0
215,1,2,33030.0,46290.0,49965.0,13260.0,3675.0,16935.0
216,0,3,33235.0,47985.0,49000.0,14750.0,1015.0,15765.0
217,2,0,33515.0,49965.0,51945.0,16450.0,1980.0,18430.0
218,3,0,33520.0,49000.0,51945.0,15480.0,2945.0,18425.0
219,3,2,33540.0,49000.0,49965.0,15460.0,965.0,16425.0
220,3,0,33565.0,50930.0,51945.0,17365.0,1015.0,18380.0
